Type	Predicate	Enabled
class llvm::ArrayRef<const class clang::Expr *>	clang::PseudoObjectExpr::semantics	1
class clang::SourceLocation	clang::PseudoObjectExpr::getExprLoc	1
class clang::SourceLocation	clang::PseudoObjectExpr::getBeginLoc	1
class clang::SourceLocation	clang::PseudoObjectExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::PseudoObjectExpr::children	1
class clang::SourceLocation	clang::DesignatedInitUpdateExpr::getBeginLoc	1
class clang::SourceLocation	clang::DesignatedInitUpdateExpr::getEndLoc	1
class clang::Expr *	clang::DesignatedInitUpdateExpr::getBase	1
class clang::InitListExpr *	clang::DesignatedInitUpdateExpr::getUpdater	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::DesignatedInitUpdateExpr::children	1
const class clang::Expr *	clang::VAArgExpr::getSubExpr	1
_Bool	clang::VAArgExpr::isMicrosoftABI	1
class clang::TypeSourceInfo *	clang::VAArgExpr::getWrittenTypeInfo	1
class clang::SourceLocation	clang::VAArgExpr::getBuiltinLoc	1
class clang::SourceLocation	clang::VAArgExpr::getRParenLoc	1
class clang::SourceLocation	clang::VAArgExpr::getBeginLoc	1
class clang::SourceLocation	clang::VAArgExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::VAArgExpr::children	1
const class clang::Expr *	clang::ValueStmt::getExprStmt	1
const class clang::CompoundStmt *	clang::StmtExpr::getSubStmt	1
class clang::SourceLocation	clang::StmtExpr::getBeginLoc	1
class clang::SourceLocation	clang::StmtExpr::getEndLoc	1
class clang::SourceLocation	clang::StmtExpr::getLParenLoc	1
class clang::SourceLocation	clang::StmtExpr::getRParenLoc	1
unsigned int	clang::StmtExpr::getTemplateDepth	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::StmtExpr::children	1
class llvm::StringRef	clang::SourceLocExpr::getBuiltinStr	1
enum clang::SourceLocExpr::IdentKind	clang::SourceLocExpr::getIdentKind	1
_Bool	clang::SourceLocExpr::isIntType	1
const class clang::DeclContext *	clang::SourceLocExpr::getParentContext	1
class clang::SourceLocation	clang::SourceLocExpr::getLocation	1
class clang::SourceLocation	clang::SourceLocExpr::getBeginLoc	1
class clang::SourceLocation	clang::SourceLocExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::SourceLocExpr::children	1
const class clang::Stmt *	clang::CXXForRangeStmt::getInit	1
const class clang::VarDecl *	clang::CXXForRangeStmt::getLoopVariable	1
const class clang::Expr *	clang::CXXForRangeStmt::getRangeInit	1
const class clang::DeclStmt *	clang::CXXForRangeStmt::getRangeStmt	1
const class clang::DeclStmt *	clang::CXXForRangeStmt::getBeginStmt	1
const class clang::DeclStmt *	clang::CXXForRangeStmt::getEndStmt	1
const class clang::Expr *	clang::CXXForRangeStmt::getCond	1
const class clang::Expr *	clang::CXXForRangeStmt::getInc	1
const class clang::DeclStmt *	clang::CXXForRangeStmt::getLoopVarStmt	1
const class clang::Stmt *	clang::CXXForRangeStmt::getBody	1
class clang::SourceLocation	clang::CXXForRangeStmt::getForLoc	1
class clang::SourceLocation	clang::CXXForRangeStmt::getCoawaitLoc	1
class clang::SourceLocation	clang::CXXForRangeStmt::getColonLoc	1
class clang::SourceLocation	clang::CXXForRangeStmt::getRParenLoc	1
class clang::SourceLocation	clang::CXXForRangeStmt::getBeginLoc	1
class clang::SourceLocation	clang::CXXForRangeStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CXXForRangeStmt::children	1
enum clang::Stmt::StmtClass	clang::Stmt::getStmtClass	1
const char *	clang::Stmt::getStmtClassName	1
class clang::SourceRange	clang::Stmt::getSourceRange	1
class clang::SourceLocation	clang::Stmt::getBeginLoc	1
class clang::SourceLocation	clang::Stmt::getEndLoc	1
const class clang::Stmt *	clang::Stmt::stripLabelLikeStatements	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::Stmt::children	1
